1971
f1: l1 = 1.72; l2 = 2.03
f2: l1 = 1.97; l2 = 2.52
f3: l1 = 2.53; l2 = 3.47
f4: l1 = 2.62; l2 = 3.49
f5: l1 = 2.04; l2 = 2.62
f6: l1 = 2.87; l2 = 3.56
f7: l1 = 2.65; l2 = 3.91
f8: l1 = 2.51; l2 = 3.69
f9: l1 = 2.34; l2 = 3.33
f10: l1 = 2.58; l2 = 3.95
f11: l1 = 1.81; l2 = 2.22
f12: l1 = 1.90; l2 = 2.41
f13: l1 = 2.27; l2 = 2.72
f14: l1 = 2.37; l2 = 2.99

1972
f1: l1 = 3.98; l2 = 5.79
f2: l1 = 3.50; l2 = 4.83
f3: l1 = 2.91; l2 = 4.15
f4: l1 = 2.66; l2 = 3.90
f5: l1 = 2.56; l2 = 3.26
f6: l1 = 3.09; l2 = 4.08
f7: l1 = 2.04; l2 = 2.55
f8: l1 = 3.17; l2 = 4.29
f9: l1 = 4.13; l2 = 5.10
f10: l1 = 4.10; l2 = 5.13
f11: l1 = 2.66; l2 = 3.53
f12: l1 = 3.13; l2 = 4.19
f13: l1 = 2.63; l2 = 3.51
f14: l1 = 3.31; l2 = 4.98

1973
f1: l1 = 2.52; l2 = 3.20
f2: l1 = 2.21; l2 = 2.93
f3: l1 = 3.56; l2 = 4.60
f4: l1 = 3.13; l2 = 4.57
f5: l1 = 1.75; l2 = 2.37
f6: l1 = 1.95; l2 = 2.46
f7: l1 = 1.70; l2 = 2.18
f8: l1 = 2.73; l2 = 3.89
f9: l1 = 2.53; l2 = 3.27
f10: l1 = 2.83; l2 = 3.47
f11: l1 = 2.24; l2 = 2.68
f12: l1 = 2.39; l2 = 2.88
f13: l1 = 2.29; l2 = 2.78
f14: l1 = 2.64; l2 = 3.96

1974
f1: l1 = 2.48; l2 = 3.18
f2: l1 = 3.00; l2 = 3.53
f3: l1 = 2.20; l2 = 2.93
f4: l1 = 1.97; l2 = 2.91
f5: l1 = 2.54; l2 = 3.48
f6: l1 = 2.38; l2 = 3.29
