1971
f1: l1 = 1.68; l2 = 1.98
f2: l1 = 1.88; l2 = 2.40
f3: l1 = 2.08; l2 = 2.85
f4: l1 = 2.51; l2 = 3.41
f5: l1 = 2.03; l2 = 2.58
f6: l1 = 2.75; l2 = 3.15
f7: l1 = 2.69; l2 = 3.97
f8: l1 = 2.52; l2 = 3.74
f9: l1 = 2.38; l2 = 3.40
f10: l1 = 2.61; l2 = 4.02
f11: l1 = 1.70; l2 = 2.12
f12: l1 = 1.84; l2 = 2.35
f13: l1 = 2.14; l2 = 2.59
f14: l1 = 2.42; l2 = 3.03

1972
f1: l1 = 3.92; l2 = 5.71
f2: l1 = 3.44; l2 = 4.72
f3: l1 = 2.56; l2 = 3.89
f4: l1 = 2.57; l2 = 3.77
f5: l1 = 2.50; l2 = 3.17
f6: l1 = 2.81; l2 = 3.86
f7: l1 = 1.94; l2 = 2.45
f8: l1 = 3.11; l2 = 4.21
f9: l1 = 4.02; l2 = 5.03
f10: l1 = 3.96; l2 = 5.03
f11: l1 = 2.66; l2 = 3.49
f12: l1 = 3.06; l2 = 4.10
f13: l1 = 2.56; l2 = 3.42
f14: l1 = 3.25; l2 = 4.85
1973
f1: l1 = 2.43; l2 = 3.12
f2: l1 = 2.07; l2 = 2.76
f3: l1 = 3.44; l2 = 4.35
f4: l1 = 3.07; l2 = 4.53
f5: l1 = 1.78; l2 = 2.39
f6: l1 = 1.87; l2 = 2.34
f7: l1 = 1.65; l2 = 2.10
f8: l1 = 2.65; l2 = 3.80
f9: l1 = 2.52; l2 = 3.23
f10: l1 = 2.74; l2 = 3.37
f11: l1 = 2.19; l2 = 2.64
f12: l1 = 2.36; l2 = 2.84
f13: l1 = 2.26; l2 = 2.76
f14: l1 = 2.60; l2 = 3.92

1974
f1: l1 = 2.43; l2 = 3.07
f2: l1 = 2.90; l2 = 3.43
f3: l1 = 2.14; l2 = 2.87
f4: l1 = 1.99; l2 = 2.88
f5: l1 = 2.56; l2 = 3.49
f6: l1 = 1.97; l2 = 2.81
f7: l1 = 2.36; l2 = 3.01
f8: l1 = 3.13; l2 = 4.08
f9: l1 = 3.29; l2 = 4.39
f10: l1 = 2.75; l2 = 3.64
f11: l1 = 2.34; l2 = 3.20
f12: l1 = 2.33; l2 = 3.24
f13: l1 = 2.37; l2 = 3.23
f14: l1 = 2.81; l2 = 3.66

1975
f1: l1 = 2.33; l2 = 3.04
f2: l1 = 2.39; l2 = 2.96
f3: l1 = 3.33; l2 = 4.51
f4: l1 = 2.75; l2 = 3.46
f5: l1 = 2.59; l2 = 3.14
f6: l1 = 3.19; l2 = 4.04
f7: l1 = 2.32; l2 = 2.76
f8: l1 = 2.31; l2 = 2.78
f9: l1 = 2.10; l2 = 2.63
f10: l1 = 2.06; l2 = 2.46
f11: l1 = 3.31; l2 = 4.23
f12: l1 = 3.31; l2 = 4.49
f13: l1 = 3.05; l2 = 4.23
f14: l1 = 2.74; l2 = 3.83

1976
f1: l1 = 2.82; l2 = 3.51
f2: l1 = 2.48; l2 = 3.36
f3: l1 = 3.07; l2 = 4.12
